iteration,avg_reward
1,21.732
2,33.49
3,48.866
4,65.972
5,108.794
6,113.68
7,167.334
8,195.502
9,193.732
10,222.718
11,179.444
12,195.528
13,322.224
14,358.248
15,497.742
16,498.406
17,498.016
18,498.85
19,499.73
20,499.344
21,477.358
22,259.068
23,179.288
24,105.684
25,59.456
26,39.736
27,36.864
28,39.39
29,44.984
30,52.518
31,61.712
32,72.98
33,86.588
34,99.362
35,115.234
36,133.648
37,146.26
38,156.16
39,170.594
40,235.518
41,290.506
42,281.03
43,231.24
44,205.236
45,178.516
46,159.002
47,143.682
48,125.976
49,113.808
50,102.552
51,88.39
52,78.796
53,79.918
54,92.798
55,103.636
56,112.444
57,118.758
58,127.032
59,128.73
60,131.42
61,135.114
62,137.842
63,140.946
64,140.04
65,145.198
66,148.71
67,150.414
68,147.38
69,146.242
70,146.116
71,149.466
72,156.394
73,158.236
74,167.822
75,191.206
76,218.26
77,260.032
78,280.164
79,268.038
80,240.06
81,229.046
82,222.384
83,216.008
84,214.804
85,211.418
86,202.204
87,193.816
88,191.242
89,192.238
90,193.08
91,188.546
92,184.986
93,183.07
94,181.252
95,176.458
96,170.584
97,170.53
98,168.796
99,164.478
100,156.188
101,154.046
102,153.192
103,156.546
104,161.178
105,157.55
106,159.232
107,161.994
108,162.908
109,165.594
110,162.764
111,163.192
112,157.402
113,152.29
114,148.056
115,145.776
116,143.896
117,137.25
118,130.172
119,123.768
120,116.268
121,110.358
122,104.386
123,86.272
124,52.342
125,39.588
126,35.996
127,35.148
128,35.336
129,35.806
130,36.698
131,37.894
132,38.546
133,41.37
134,43.2
135,46.668
136,53.398
137,61.74
138,72.87
139,85.636
140,93.68
141,99.956
142,104.83
143,109.088
144,115.086
145,119.46
146,122.046
147,123.562
148,125.396
149,127.618
150,131.57
151,136.532
152,140.418
153,144.694
154,145.504
155,146.56
156,147.028
157,151.422
158,151.15
159,152.902
160,155.926
161,158.022
162,157.966
163,154.964
164,152.224
165,153.418
166,150.618
167,154.128
168,155.624
169,155.044
170,155.354
171,156.774
172,158.772
173,158.594
174,158.636
175,156.144
176,158.432
177,162.452
178,168.572
179,179.342
180,188.988
181,194.24
182,196.072
183,203.228
184,223.368
185,243.208
186,299.644
187,316.348
188,340.182
189,338.92
190,313.492
191,298.424
192,292.606
193,320.604
194,335.262
195,359.564
196,371.71
197,377.952
198,380.318
199,380.566
200,398.672
