(cs558_ass4) exouser@krishna:~/Desktop/humanoid/csrob/cs558rob/assignments/assignment4$ python train_cartpole.py --mode q13 --num_iterations 200 --episodes_per_iteration 1000 --gamma 0.99 --save_path results/cartpole_q14_ep1000.csv
Using device: cuda
[q13] Iteration 1/200, Avg Reward: 22.74
[q13] Iteration 2/200, Avg Reward: 30.27
[q13] Iteration 3/200, Avg Reward: 46.14
[q13] Iteration 4/200, Avg Reward: 67.09
[q13] Iteration 5/200, Avg Reward: 86.63
[q13] Iteration 6/200, Avg Reward: 173.20
[q13] Iteration 7/200, Avg Reward: 242.99
[q13] Iteration 8/200, Avg Reward: 258.26
[q13] Iteration 9/200, Avg Reward: 355.41
[q13] Iteration 10/200, Avg Reward: 321.82
[q13] Iteration 11/200, Avg Reward: 359.63
[q13] Iteration 12/200, Avg Reward: 422.46
[q13] Iteration 13/200, Avg Reward: 482.00
[q13] Iteration 14/200, Avg Reward: 488.58
[q13] Iteration 15/200, Avg Reward: 498.81
[q13] Iteration 16/200, Avg Reward: 499.69
[q13] Iteration 17/200, Avg Reward: 499.92
[q13] Iteration 18/200, Avg Reward: 500.00
[q13] Iteration 19/200, Avg Reward: 500.00
[q13] Iteration 20/200, Avg Reward: 500.00
[q13] Iteration 21/200, Avg Reward: 495.18
[q13] Iteration 22/200, Avg Reward: 477.06
[q13] Iteration 23/200, Avg Reward: 499.88
[q13] Iteration 24/200, Avg Reward: 500.00
[q13] Iteration 25/200, Avg Reward: 500.00
[q13] Iteration 26/200, Avg Reward: 500.00
[q13] Iteration 27/200, Avg Reward: 500.00
[q13] Iteration 28/200, Avg Reward: 500.00
[q13] Iteration 29/200, Avg Reward: 500.00
[q13] Iteration 30/200, Avg Reward: 499.92
[q13] Iteration 31/200, Avg Reward: 499.20
[q13] Iteration 32/200, Avg Reward: 492.95
[q13] Iteration 33/200, Avg Reward: 499.95
[q13] Iteration 34/200, Avg Reward: 500.00
[q13] Iteration 35/200, Avg Reward: 499.38
[q13] Iteration 36/200, Avg Reward: 495.16
[q13] Iteration 37/200, Avg Reward: 451.91
[q13] Iteration 38/200, Avg Reward: 416.81
[q13] Iteration 39/200, Avg Reward: 454.42
[q13] Iteration 40/200, Avg Reward: 499.11
[q13] Iteration 41/200, Avg Reward: 499.31
[q13] Iteration 42/200, Avg Reward: 498.80
[q13] Iteration 43/200, Avg Reward: 499.42
[q13] Iteration 44/200, Avg Reward: 499.50
[q13] Iteration 45/200, Avg Reward: 498.93
[q13] Iteration 46/200, Avg Reward: 498.61
[q13] Iteration 47/200, Avg Reward: 499.58
[q13] Iteration 48/200, Avg Reward: 499.57
[q13] Iteration 49/200, Avg Reward: 499.78
[q13] Iteration 50/200, Avg Reward: 499.84
[q13] Iteration 51/200, Avg Reward: 499.77
[q13] Iteration 52/200, Avg Reward: 499.91
[q13] Iteration 53/200, Avg Reward: 499.76
[q13] Iteration 54/200, Avg Reward: 499.89
[q13] Iteration 55/200, Avg Reward: 499.85
[q13] Iteration 56/200, Avg Reward: 499.80
[q13] Iteration 57/200, Avg Reward: 498.25
[q13] Iteration 58/200, Avg Reward: 497.32
[q13] Iteration 59/200, Avg Reward: 496.96
[q13] Iteration 60/200, Avg Reward: 497.99
[q13] Iteration 61/200, Avg Reward: 499.19
[q13] Iteration 62/200, Avg Reward: 497.61
[q13] Iteration 63/200, Avg Reward: 497.56
[q13] Iteration 64/200, Avg Reward: 491.83
[q13] Iteration 65/200, Avg Reward: 489.78
[q13] Iteration 66/200, Avg Reward: 493.62
[q13] Iteration 67/200, Avg Reward: 497.30
[q13] Iteration 68/200, Avg Reward: 499.62
[q13] Iteration 69/200, Avg Reward: 500.00
[q13] Iteration 70/200, Avg Reward: 500.00
[q13] Iteration 71/200, Avg Reward: 500.00
[q13] Iteration 72/200, Avg Reward: 499.96
[q13] Iteration 73/200, Avg Reward: 499.90
[q13] Iteration 74/200, Avg Reward: 499.90
[q13] Iteration 75/200, Avg Reward: 500.00
[q13] Iteration 76/200, Avg Reward: 500.00
