iteration,avg_reward
1,-24.07823146245622
2,-24.217276284048822
3,-24.015341515208398
4,-23.98854756682238
5,-24.676934587049914
6,-24.02065661946421
7,-22.255543665246773
8,-20.94891773926629
9,-20.292409495337505
10,-20.673934877264028
11,-22.958392545910836
12,-24.488885085912163
13,-23.64548501765036
14,-22.158229099526938
15,-23.464255015335922
16,-22.078309000920907
17,-22.59781684667593
18,-20.669662258255862
19,-21.14919992611746
20,-19.08607140583769
21,-19.423154669814327
22,-19.107540126017717
23,-20.104486758756167
24,-20.873882459075457
25,-20.196541740403482
26,-21.14970690051155
27,-19.066515524687134
28,-20.538397023230377
29,-19.65669233961664
30,-19.2184341752657
31,-17.937484116508436
32,-16.69371349668268
33,-17.456356387654665
34,-16.539194973779036
35,-16.420058787994467
36,-16.810046143105723
37,-17.596085201586405
38,-16.717886124384837
39,-15.462884041311407
40,-14.928349157954848
41,-12.655338776253279
42,-13.007868242036768
43,-12.585413956700037
44,-12.660590938269966
45,-12.7224256066972
46,-12.103400050383364
47,-11.44315293528853
48,-13.07096440942008
49,-12.707212998021745
50,-13.40534394898502
51,-12.680707198012557
52,-11.932630458187234
53,-11.868209018927628
54,-10.918495601174163
55,-11.387520988592694
56,-10.291810199651595
57,-11.31297816617927
58,-10.953609479211323
59,-11.041284948066368
60,-11.201475720746059
61,-11.045235628043455
62,-10.736395047186393
63,-10.048642081090899
64,-11.18656088175174
65,-10.443421402976645
66,-10.194617156736527
67,-10.443861207049137
68,-10.682814102352859
69,-10.484716738095383
70,-9.056408768390824
71,-10.143781180081648
72,-9.75172391279441
73,-9.785810458934856
74,-8.237241063901543
75,-9.317621675080332
