iteration,avg_reward
1,-19.92331770939428
2,-18.580529450549953
3,-20.732961607130633
4,-20.412419952979814
5,-15.587329783451697
6,-15.86873019240877
7,-16.989461193575806
8,-18.866117745563614
9,-17.405999445915278
10,-18.0159290682615
11,-15.822188525602273
12,-17.165021394030465
13,-17.574468793301047
14,-15.042168667894964
15,-16.638527454772646
16,-16.582476188134386
17,-17.087997868125054
18,-14.736653005617018
19,-13.992018442709316
20,-15.797572643652163
21,-16.656609619848865
22,-16.049734143663056
23,-14.575558079835053
24,-15.639073370054543
25,-14.52619778068723
26,-12.602651916693828
27,-11.099648589129128
28,-14.13248627082556
29,-15.65463552034089
30,-14.891602211115057
31,-15.870386889865902
32,-15.272785602629504
33,-14.288482303561006
34,-15.840224590464164
35,-12.548285489874822
36,-12.731868766497858
37,-10.391557173926772
38,-11.014537042672096
39,-10.921423990313983
40,-11.447568503096363
41,-10.954477381431625
42,-11.088802117360377
43,-11.336291422767303
44,-9.902021789080516
45,-10.00843080562192
46,-9.708885028555994
47,-9.367642807411217
48,-8.710640819996726
49,-9.77215652780459
50,-9.135494247301004
51,-9.454058982467616
52,-9.105729988687312
53,-9.115109402039055
54,-9.887954723686567
55,-9.844386288206278
56,-9.161880825065731
57,-9.057087841839326
58,-8.757180538140634
59,-9.403799666893462
60,-9.683662946713904
61,-8.572530723301597
62,-8.738422266136169
63,-9.055175926781144
64,-9.04430679395039
65,-8.359460407414282
66,-9.033073543023278
67,-8.810178478143733
68,-10.435216771171113
69,-8.979394919984983
70,-7.598312364489597
71,-7.987366443629534
72,-6.987631224143088
73,-7.32444970167306
74,-7.63525359613999
75,-6.626171697683694
