step,phase,wp_idx,wp_total,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,cube_top_z,ee_xy_dist,ee_above_cube_top,gripper_cmd,act_norm,grasp_ready_at_lift,reward
1,0,0,20,0.6457350850105286,-0.4388982951641083,0.4918842017650604,0.6337029667473378,-0.0421111642001299,0.07588798536763044,0.10089010468719609,0.3969695191932559,0.39099409707786437,0.04,2.0597939491271973,False,-0.017813558299905052
2,0,0,20,0.6358845829963684,-0.4211866855621338,0.5025256276130676,0.6337028579888777,-0.04211123944172217,0.07591669117369329,0.10091910703078487,0.3790817244017408,0.40160652058228274,0.04,2.259014129638672,False,0.04311308981062467
3,0,0,20,0.631438136100769,-0.400505930185318,0.5148276090621948,0.6337027841932019,-0.042111266758433484,0.0759372555785065,0.10093988482559828,0.3584018183601367,0.41388772423659653,0.04,2.0840024948120117,False,0.04063472006709423
4,0,0,20,0.6217554211616516,-0.3796237111091614,0.5259968638420105,0.6337027355610695,-0.04211125958939564,0.0759519876069763,0.10095477040790908,0.3377238416994583,0.42504209343410143,0.04,2.469531536102295,False,0.03965993394370759
5,0,0,20,0.6159365773200989,-0.35774141550064087,0.5369501113891602,0.6337027050393597,-0.04211122760556086,0.07596254140940106,0.10096543470451066,0.31612980056429446,0.43598467668464946,0.04,2.1584653854370117,False,0.03700110668074297
6,0,0,20,0.6068142056465149,-0.3375294506549835,0.5471903085708618,0.6337026875516096,-0.04211117776614049,0.07597010199393246,0.10097307479690873,0.29663942154708217,0.44621723377395306,0.04,2.4601023197174072,False,0.0215468014877096
7,0,0,20,0.6013669967651367,-0.3161029815673828,0.5575524568557739,0.6337026794441266,-0.04211111507889261,0.07597551828244188,0.10097854829552572,0.2758933476475338,0.4565739085602482,0.04,1.852414846420288,False,0.018077898304703632
8,0,0,20,0.5993058085441589,-0.29459983110427856,0.5665169358253479,0.6337026780872859,-0.042111043147271564,0.07597939842970045,0.10098246960771123,0.25482098162899647,0.46553446621763667,0.04,2.3671205043792725,False,0.02232096297520081
9,0,0,20,0.5997545123100281,-0.2736039161682129,0.5733119249343872,0.6337026815885414,-0.04211096456418465,0.07598217810858302,0.10098527890582834,0.2339689399037991,0.4723266460285589,0.04,1.9026490449905396,False,0.031590088365620606
10,0,0,20,0.6030119061470032,-0.2539088726043701,0.5699871182441711,0.6337026885858521,-0.042110881195354964,0.07598416942854813,0.10098729153720327,0.21401007754683424,0.4689998267069679,0.04,2.181039571762085,False,0.11249355011810569
11,0,0,20,0.6089078783988953,-0.23425889015197754,0.5687336921691895,0.6337026980989952,-0.04211079438323711,0.07598559598009379,0.10098873342228633,0.19374125474847506,0.46774495874690314,0.04,1.8824161291122437,False,0.08899188556252935
12,0,0,20,0.6126166582107544,-0.21678079664707184,0.5572002530097961,0.6337027094225456,-0.042110705093757944,0.07598661794007387,0.1009897664145214,0.17593823472727393,0.45621048659527474,0.04,2.231654405593872,False,0.17100136199294624
13,0,0,20,0.6201057434082031,-0.1996515393257141,0.5453023910522461,0.6337027806539476,-0.04211080066381168,0.07598724040049638,0.10099060951215476,0.15812641702131874,0.4443117815400913,0.04,2.0647871494293213,False,0.17129863303906423
14,0,0,20,0.6247856616973877,-0.18448206782341003,0.525500476360321,0.6337030988614174,-0.04211063050443331,0.0759874812810267,0.1009906351266134,0.14265043585578607,0.42450984123370766,0.04,2.2632758617401123,False,0.23633205982565575
15,0,0,20,0.6327682733535767,-0.17062336206436157,0.5051640272140503,0.6337033413165122,-0.04211043365305626,0.0759876509288559,0.10099063519438224,0.12851633017225708,0.40417339201966807,0.04,2.209531545639038,False,0.23599424495918175
16,0,0,20,0.6382303237915039,-0.15840235352516174,0.4787912666797638,0.6337035234513941,-0.042110226842710506,0.07598777247488894,0.10099063518218185,0.11638019870083786,0.3778006314975819,0.04,1.9528356790542603,False,0.28726217284597844
17,0,0,20,0.645835280418396,-0.14855721592903137,0.4519500434398651,0.6337036623507922,-0.04211001293100898,0.07598785956483715,0.10099063517207513,0.1071362832239405,0.35095940826779,0.04,2.231651782989502,False,0.2834981250226798
18,0,0,20,0.6365994215011597,-0.14051516354084015,0.4234948754310608,0.6337037702744137,-0.042109793934804886,0.07598792196652261,0.10099063516422299,0.09844796373377848,0.32250424026683777,0.04,1.9547635316848755,False,0.2974644158958145
